Date,Price,Open,High,Low,Vol.,Change %
10/7/2011,746.00,746.00,746.00,746.00,0.03K,5.82%
9/30/2011,705.00,705.00,705.00,705.00,0.21K,-6.00%
9/29/2011,750.00,750.00,750.00,750.00,0.03K,0.00%
9/23/2011,750.00,750.00,750.00,750.00,0.05K,-2.85%
9/22/2011,772.00,754.00,772.00,754.00,0.49K,1.58%
9/21/2011,760.00,760.00,760.00,760.00,0.00K,-1.68%
9/20/2011,773.00,760.00,773.00,752.00,0.05K,-0.90%
9/16/2011,780.00,780.00,780.00,780.00,0.50K,-1.14%
9/15/2011,789.00,789.00,789.00,789.00,0.00K,-0.38%
9/12/2011,792.00,792.00,792.00,792.00,0.01K,-0.63%
9/7/2011,797.00,752.00,797.00,752.00,0.11K,-0.25%
9/6/2011,799.00,750.00,799.00,750.00,0.01K,0.25%
8/18/2011,797.00,755.00,797.00,755.00,0.10K,-0.13%
8/11/2011,798.00,753.00,798.00,751.00,0.06K,2.31%
8/9/2011,780.00,794.00,794.00,780.00,2.71K,4.00%
8/5/2011,750.00,750.00,750.00,750.00,0.02K,-5.18%
8/4/2011,791.00,751.00,791.00,750.00,0.21K,0.00%
7/21/2011,791.00,791.00,791.00,791.00,0.02K,0.00%
7/19/2011,791.00,791.00,791.00,791.00,0.07K,0.13%
7/13/2011,790.00,790.00,790.00,790.00,0.05K,-2.47%
7/12/2011,810.00,810.00,810.00,810.00,2.00K,2.40%
7/5/2011,791.00,791.00,791.00,791.00,0.00K,-5.83%
7/1/2011,840.00,840.00,840.00,840.00,0.06K,-0.94%
6/30/2011,848.00,800.00,848.00,800.00,0.12K,4.56%
6/29/2011,811.00,810.00,811.00,810.00,0.97K,0.00%
6/27/2011,811.00,811.00,811.00,811.00,0.01K,0.00%
6/24/2011,811.00,811.00,811.00,811.00,0.43K,0.00%
6/23/2011,811.00,811.00,811.00,811.00,5.10K,0.00%
6/22/2011,811.00,811.00,811.00,811.00,10.00K,0.00%
6/20/2011,811.00,811.00,811.00,811.00,0.74K,0.00%
6/17/2011,811.00,812.00,820.00,810.00,2.66K,0.00%
6/16/2011,811.00,859.00,859.00,810.00,1.53K,-4.59%
6/15/2011,850.00,817.00,850.00,817.00,12.87K,-1.05%
