"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2014","192.00","192.00","192.00","192.00","8.08K","0.16%"
"02/07/2014","191.70","191.50","191.70","191.50","56.24K","0.10%"
"02/06/2014","191.50","191.50","191.50","191.50","1.98K","0.00%"
"02/05/2014","191.50","191.50","191.50","191.50","0.63K","-0.26%"
"02/04/2014","192.00","191.50","192.00","190.30","17.62K","0.00%"
"02/03/2014","192.00","191.10","192.00","191.10","3.87K","0.47%"
"01/31/2014","191.10","191.50","191.50","191.10","44.66K","0.00%"
"01/30/2014","191.10","191.05","191.85","191.05","35.35K","-0.26%"
"01/29/2014","191.60","191.55","193.00","191.55","5.25K","0.05%"
"01/28/2014","191.50","191.50","191.50","191.50","49.12K","0.26%"
"01/27/2014","191.00","192.50","192.50","191.00","7.32K","-0.78%"
"01/24/2014","192.50","192.50","193.45","192.45","34.26K","-0.52%"
"01/23/2014","193.50","192.00","193.50","192.00","3.91K","0.78%"
"01/22/2014","192.00","193.50","193.50","192.00","46.76K","-0.78%"
"01/21/2014","193.50","193.00","193.50","193.00","51.07K","0.26%"
"01/20/2014","193.00","192.50","193.00","192.50","4.34K","0.49%"
"01/17/2014","192.05","192.00","192.05","192.00","15.37K","0.03%"
"01/16/2014","192.00","192.05","192.05","192.00","34.46K","-1.03%"
"01/13/2014","194.00","192.00","194.00","192.00","7.45K","1.23%"
"01/10/2014","191.65","193.25","194.00","191.65","24.83K","-1.21%"
"01/09/2014","194.00","193.25","194.00","193.25","26.83K","0.52%"
"01/08/2014","193.00","193.15","194.00","193.00","18.15K","-0.75%"
"01/07/2014","194.45","193.00","194.45","193.00","13.07K","-0.15%"
"01/06/2014","194.75","193.00","194.75","193.00","4.92K","0.91%"
"01/03/2014","193.00","193.00","193.00","193.00","5.07K","0.00%"
"01/02/2014","193.00","193.00","193.05","193.00","5.46K","-0.26%"
"12/31/2013","193.50","194.00","194.70","192.00","18.53K","-0.26%"
"12/30/2013","194.00","194.00","195.00","193.00","19.49K","0.00%"
"12/27/2013","194.00","194.00","195.00","194.00","15.72K","-0.51%"
"12/26/2013","195.00","194.00","195.00","194.00","3.42K","0.36%"
"12/25/2013","194.30","194.25","194.30","194.25","10.17K","-0.61%"
"12/24/2013","195.50","194.00","195.50","194.00","7.08K","0.26%"
"12/23/2013","195.00","195.50","195.50","195.00","17.55K","-0.03%"
"12/20/2013","195.05","194.00","195.05","194.00","20.68K","-0.38%"
"12/19/2013","195.80","193.50","195.80","193.50","14.46K","0.03%"
"12/18/2013","195.75","195.85","195.85","195.75","20.17K","0.08%"
"12/17/2013","195.60","195.60","195.60","195.60","10.06K","-0.13%"
"12/16/2013","195.85","195.55","195.85","195.00","7.76K","0.18%"
"12/13/2013","195.50","195.50","195.90","195.50","25.31K","-0.20%"
"12/12/2013","195.90","195.75","195.90","195.75","16.62K","0.00%"
"12/11/2013","195.90","195.00","195.90","193.90","10.60K","0.00%"
"12/10/2013","195.90","195.70","195.90","194.50","22.14K","0.05%"
"12/09/2013","195.80","195.20","195.80","195.20","32.43K","0.36%"
"12/06/2013","195.10","195.55","195.60","195.10","42.65K","-0.08%"
"12/05/2013","195.25","195.00","195.25","194.90","12.07K","-0.38%"
"12/04/2013","196.00","194.50","196.00","194.50","19.10K","0.00%"
"12/03/2013","196.00","194.50","196.00","194.50","5.84K","0.00%"
"12/02/2013","196.00","195.85","196.00","195.15","47.30K","0.05%"
"11/29/2013","195.90","194.50","195.90","194.50","78.55K","0.00%"
"11/28/2013","195.90","194.50","195.90","194.50","5.64K","-0.05%"
"11/27/2013","196.00","196.00","196.80","196.00","80.43K","0.00%"
"11/26/2013","196.00","196.00","196.00","195.00","104.74K","0.41%"
"11/25/2013","195.20","195.00","195.20","195.00","23.04K","0.57%"
"11/22/2013","194.10","196.00","196.85","194.10","39.98K","-0.99%"
"11/21/2013","196.05","197.00","197.00","196.05","22.10K","-0.48%"
"11/20/2013","197.00","197.00","197.00","196.80","26.77K","0.00%"
"11/19/2013","197.00","195.10","197.00","195.10","53.08K","0.25%"
"11/15/2013","196.50","196.00","197.00","196.00","82.68K","-0.25%"
"11/14/2013","197.00","196.00","198.00","196.00","57.20K","-0.25%"
"11/13/2013","197.50","195.00","198.00","195.00","102.95K","1.28%"
"11/12/2013","195.00","194.10","195.00","194.10","35.84K","0.52%"
"11/11/2013","194.00","192.55","194.00","192.35","11.33K","1.02%"
"11/08/2013","192.05","190.05","193.50","190.05","20.51K","0.81%"
"11/07/2013","190.50","190.50","190.50","190.05","7.90K","0.24%"
"11/04/2013","190.05","190.00","190.25","190.00","15.55K","-1.53%"
"11/01/2013","193.00","194.50","194.50","193.00","51.76K","-1.03%"
"10/31/2013","195.00","194.10","195.00","194.10","44.66K","0.00%"
"10/30/2013","195.00","194.95","195.00","194.95","105.29K","0.00%"
"10/29/2013","195.00","194.00","197.00","194.00","121.84K","-0.51%"
"10/28/2013","196.00","191.00","198.00","191.00","180.48K","2.08%"
"10/25/2013","192.00","189.00","192.00","189.00","317.55K","1.32%"
"10/24/2013","189.50","189.00","189.50","189.00","16.11K","0.26%"
"10/23/2013","189.00","189.00","189.00","189.00","33.76K","-0.05%"
"10/22/2013","189.10","189.00","189.10","189.00","10.99K","-0.45%"
"10/21/2013","189.95","189.00","189.95","189.00","18.23K","0.24%"
"10/15/2013","189.50","189.50","189.50","189.50","25.32K","0.00%"
"10/14/2013","189.50","189.50","189.50","189.50","18.74K","0.26%"
"10/11/2013","189.00","189.00","189.00","189.00","24.86K","0.00%"
"10/10/2013","189.00","189.00","189.50","189.00","35.04K","0.00%"
"10/09/2013","189.00","189.00","189.00","189.00","50.64K","-0.32%"
"10/08/2013","189.60","189.00","189.95","189.00","57.70K","0.32%"
"10/07/2013","189.00","189.00","189.20","189.00","76.28K","0.00%"
"10/04/2013","189.00","189.00","189.00","189.00","25.62K","0.00%"
"10/03/2013","189.00","189.00","189.00","189.00","45.99K","0.00%"
"10/02/2013","189.00","189.00","189.00","189.00","32.13K","0.00%"
"10/01/2013","189.00","189.00","189.25","188.00","47.27K","-0.16%"
"09/30/2013","189.30","189.25","189.30","189.25","37.63K","0.03%"
"09/27/2013","189.25","189.00","189.95","189.00","35.73K","0.13%"
"09/26/2013","189.00","188.00","189.00","188.00","52.56K","0.53%"
"09/25/2013","188.00","187.00","188.00","187.00","78.28K","0.53%"
"09/24/2013","187.00","187.00","187.00","187.00","196.73K","0.00%"
"09/23/2013","187.00","189.00","189.00","187.00","246.10K","-1.32%"
"09/20/2013","189.50","189.50","189.90","189.50","8.75K","0.00%"
"09/19/2013","189.50","190.00","190.00","188.00","32.16K","-0.26%"
"09/18/2013","190.00","189.00","190.00","189.00","10.68K","0.00%"
"09/17/2013","190.00","189.90","190.00","188.10","8.40K","0.05%"
"09/16/2013","189.90","190.00","190.00","188.10","20.87K","0.48%"
"09/13/2013","189.00","189.00","189.00","188.10","35.65K","0.00%"
"09/12/2013","189.00","190.00","190.00","189.00","30.70K","0.53%"
"09/11/2013","188.00","188.00","188.05","188.00","26.51K","0.00%"
"09/10/2013","188.00","190.00","190.00","188.00","12.00K","-1.05%"
"09/09/2013","190.00","190.00","190.00","190.00","8.00K","0.00%"
"09/06/2013","190.00","190.00","190.00","190.00","7.39K","0.00%"
"09/05/2013","190.00","190.00","190.00","190.00","2.23K","-0.78%"
"09/04/2013","191.50","190.00","191.50","190.00","24.90K","0.26%"
"09/03/2013","191.00","190.00","191.00","190.00","0.93K","0.00%"
"09/02/2013","191.00","190.00","191.00","190.00","19.39K","0.53%"
"08/30/2013","190.00","190.00","190.00","190.00","1.64K","0.00%"
"08/29/2013","190.00","190.00","190.00","190.00","2.72K","-0.78%"
"08/28/2013","191.50","190.00","191.50","190.00","3.53K","0.79%"
"08/27/2013","190.00","190.00","190.00","190.00","5.42K","0.00%"
"08/26/2013","190.00","188.00","190.00","188.00","1.30K","1.06%"
"08/23/2013","188.00","188.00","188.00","188.00","0.81K","0.37%"
"08/22/2013","187.30","187.50","187.50","187.30","25.24K","0.05%"
"08/19/2013","187.20","187.20","190.50","187.20","22.41K","0.00%"
"08/16/2013","187.20","189.00","189.00","187.20","11.23K","-1.00%"
"08/15/2013","189.10","190.50","190.55","189.10","19.89K","-0.99%"
"08/13/2013","191.00","189.30","191.00","189.30","1.58K","0.53%"
"08/12/2013","190.00","190.00","190.00","189.05","2.17K","0.00%"
"08/08/2013","190.00","190.00","190.00","190.00","1.72K","-1.02%"
"08/07/2013","191.95","190.00","191.95","190.00","1.15K","-0.03%"
"08/06/2013","192.00","190.00","192.00","190.00","1.30K","1.51%"
"08/05/2013","189.15","186.00","189.15","186.00","3.14K","-1.43%"
"08/02/2013","191.90","190.05","191.90","190.05","9.19K","0.47%"
"08/01/2013","191.00","191.00","191.00","191.00","2.71K","0.00%"
"07/31/2013","191.00","191.15","191.25","190.25","17.80K","-1.55%"
"07/29/2013","194.00","194.00","194.00","193.95","64.85K","0.03%"
"07/26/2013","193.95","191.10","193.95","191.10","25.86K","0.49%"
"07/25/2013","193.00","191.10","193.00","191.10","24.71K","0.00%"
"07/24/2013","193.00","192.00","193.00","192.00","1.15M","1.05%"
"07/22/2013","191.00","191.00","191.00","191.00","0.70K","-0.47%"
"07/19/2013","191.90","191.90","191.90","191.90","3.14K","0.00%"
"07/18/2013","191.90","191.10","191.90","191.10","3.33K","0.44%"
"07/17/2013","191.05","191.00","191.05","191.00","1.11K","0.03%"
"07/16/2013","191.00","191.00","191.25","191.00","114.71K","-0.49%"
"07/15/2013","191.95","191.80","191.95","191.80","4.34K","0.08%"
"07/12/2013","191.80","190.00","191.80","190.00","18.74K","-0.03%"
"07/11/2013","191.85","189.00","191.85","189.00","0.28K","0.97%"
"07/10/2013","190.00","190.00","191.80","190.00","1.73K","-0.94%"
"07/09/2013","191.80","189.15","191.80","189.15","4.35K","0.95%"
"07/08/2013","190.00","188.55","190.00","188.55","12.67K","0.45%"
"07/05/2013","189.15","188.35","189.50","188.35","10.28K","0.08%"
"07/04/2013","189.00","189.00","189.00","189.00","1.39K","-1.56%"
"07/03/2013","192.00","188.00","192.00","188.00","19.74K","1.96%"
"07/02/2013","188.30","188.15","188.30","188.15","1.56K","-1.41%"
"06/28/2013","191.00","190.00","192.00","188.05","1.22M","-0.39%"
"06/27/2013","191.75","188.05","191.75","188.05","7.09K","1.99%"
"06/26/2013","188.00","188.10","188.10","188.00","0.68K","-2.06%"
"06/25/2013","191.95","188.00","191.95","188.00","14.86K","2.10%"
"06/24/2013","188.00","190.00","190.00","188.00","11.88K","-3.32%"
"06/21/2013","194.45","192.00","194.45","191.30","14.81K","1.28%"
"06/20/2013","192.00","191.50","192.00","191.50","1.97K","-0.78%"
"06/19/2013","193.50","192.00","193.50","192.00","23.25K","0.26%"
"06/18/2013","193.00","190.00","193.00","190.00","6.66K","1.58%"
"06/17/2013","190.00","192.00","192.00","190.00","3.63K","0.00%"
"06/14/2013","190.00","190.00","190.00","190.00","2.36K","0.00%"
"06/13/2013","190.00","190.00","190.00","190.00","1.53K","-0.52%"
"06/12/2013","191.00","190.00","191.50","190.00","26.48K","-0.26%"
"06/11/2013","191.50","190.00","192.00","189.10","7.40K","-0.26%"
"06/10/2013","192.00","189.00","192.00","189.00","17.12K","1.05%"
"06/07/2013","190.00","191.00","191.00","190.00","4.12K","-0.78%"
"06/06/2013","191.50","191.00","191.50","190.00","1.67K","0.26%"
"06/05/2013","191.00","191.00","191.00","191.00","3.26K","-0.52%"
"06/04/2013","192.00","192.00","192.00","192.00","16.53K","0.52%"
"06/03/2013","191.00","191.00","192.00","191.00","36.28K","-0.52%"
"05/31/2013","192.00","191.00","192.00","191.00","31.87K","0.52%"
"05/30/2013","191.00","191.00","191.10","191.00","14.06K","-0.52%"
"05/29/2013","192.00","191.15","192.00","191.15","30.97K","0.42%"
"05/28/2013","191.20","191.00","192.00","191.00","4.96K","-0.88%"
"05/27/2013","192.90","191.00","192.90","191.00","3.60K","0.99%"
"05/24/2013","191.00","191.00","192.00","191.00","9.47K","-0.52%"
"05/23/2013","192.00","191.00","192.00","191.00","2.20K","0.52%"
"05/22/2013","191.00","191.00","191.00","191.00","2.22K","0.00%"
"05/21/2013","191.00","191.00","192.90","191.00","4.59K","-0.52%"
"05/20/2013","192.00","191.00","192.00","191.00","2.70K","0.52%"
"05/17/2013","191.00","191.00","192.00","191.00","29.43K","-1.55%"
"05/16/2013","194.00","191.00","194.00","191.00","30.83K","1.57%"
"05/15/2013","191.00","191.00","191.00","191.00","10.00K","0.53%"
"05/14/2013","190.00","190.00","190.15","190.00","4.25K","-1.30%"
"05/13/2013","192.50","190.00","192.50","190.00","5.90K","1.32%"
"05/10/2013","190.00","190.00","190.00","190.00","2.89K","-1.55%"
"05/09/2013","193.00","190.00","193.00","190.00","2.20K","1.58%"
"05/08/2013","190.00","188.00","190.00","186.00","7.91K","0.98%"
"05/07/2013","188.15","187.00","188.15","187.00","0.84K","0.61%"
"05/06/2013","187.00","187.00","187.00","187.00","0.71K","-0.05%"
"05/03/2013","187.10","187.00","187.10","187.00","1.80K","-0.05%"
"05/02/2013","187.20","187.00","187.20","187.00","0.79K","0.11%"
"04/30/2013","187.00","188.00","188.00","184.00","64.01K","-1.06%"
"04/29/2013","189.00","189.00","190.00","188.00","33.31K","0.00%"
"04/26/2013","189.00","189.00","191.00","189.00","15.59K","0.53%"
"04/25/2013","188.00","191.50","191.50","188.00","86.15K","-2.08%"
"04/24/2013","192.00","192.50","192.50","192.00","12.66K","0.89%"
"04/23/2013","190.30","192.50","192.50","190.15","26.39K","-1.14%"
"04/22/2013","192.50","193.00","193.60","192.00","37.05K","-0.57%"
"04/19/2013","193.60","193.00","193.60","193.00","10.81K","0.28%"
"04/18/2013","193.05","193.00","193.60","193.00","145.66K","0.00%"
"04/17/2013","193.05","193.00","193.05","193.00","6.24K","0.03%"
"04/16/2013","193.00","193.00","193.00","193.00","0.63K","-0.13%"
"04/15/2013","193.25","193.00","195.00","193.00","16.28K","0.00%"
"04/12/2013","193.25","193.00","198.00","193.00","12.22K","0.13%"
"04/11/2013","193.00","193.10","193.10","191.80","19.14K","0.00%"
"04/10/2013","193.00","191.65","195.00","191.65","13.21K","0.00%"
"04/09/2013","193.00","191.50","193.00","191.50","38.17K","0.76%"
"04/08/2013","191.55","192.00","193.00","191.00","31.62K","0.03%"
